"","YearStart","LocationDesc","Class","Question","Data_Value","StratificationCategory1","Stratification1"
"2403",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.9,"Income","Data not reported"
"2404",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.3,"Race/Ethnicity","Non-Hispanic White"
"2405",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.6,"Race/Ethnicity","Non-Hispanic Black"
"2406",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.1,"Race/Ethnicity","Hispanic"
"2407",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",9.3,"Race/Ethnicity","Asian"
"2408",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"2409",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.6,"Race/Ethnicity","American Indian/Alaska Native"
"2410",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32,"Race/Ethnicity","2 or more races"
"2411",2012,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.6,"Race/Ethnicity","Other"
"2412",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.6,"Total","Total"
"2413",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.8,"Gender","Male"
"2414",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.4,"Gender","Female"
"2415",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.1,"Education","Less than high school"
"2416",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.9,"Education","High school graduate"
"2417",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.1,"Education","Some college or technical school"
"2418",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.3,"Education","College graduate"
"2419",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",14.4,"Age (years)","18 - 24"
"2420",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.4,"Age (years)","25 - 34"
"2421",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.3,"Age (years)","35 - 44"
"2422",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34,"Age (years)","45 - 54"
"2423",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",37.5,"Age (years)","55 - 64"
"2424",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.2,"Age (years)","65 or older"
"2425",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.9,"Income","Less than $15,000"
"2426",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.6,"Income","$15,000 - $24,999"
"2427",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.8,"Income","$25,000 - $34,999"
"2428",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.1,"Income","$35,000 - $49,999"
"2429",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.5,"Income","$50,000 - $74,999"
"2430",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.3,"Income","$75,000 or greater"
"2431",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.1,"Income","Data not reported"
"2432",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.2,"Race/Ethnicity","Non-Hispanic White"
"2433",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.7,"Race/Ethnicity","Non-Hispanic Black"
"2434",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.1,"Race/Ethnicity","Hispanic"
"2435",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",12.9,"Race/Ethnicity","Asian"
"2436",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.9,"Age (years)","55 - 64"
"2437",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"2438",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",37.2,"Race/Ethnicity","American Indian/Alaska Native"
"2439",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.5,"Race/Ethnicity","2 or more races"
"2440",2013,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"2441",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.4,"Gender","Female"
"2442",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.7,"Race/Ethnicity","Hispanic"
"2443",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.2,"Total","Total"
"2444",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.7,"Gender","Male"
"2445",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.7,"Gender","Female"
"2446",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.9,"Education","Less than high school"
"2447",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.1,"Education","High school graduate"
"2448",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.5,"Education","Some college or technical school"
"2449",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.4,"Education","College graduate"
"2450",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",17.3,"Age (years)","18 - 24"
"2451",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.3,"Age (years)","25 - 34"
"2452",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.8,"Age (years)","35 - 44"
"2453",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.5,"Age (years)","45 - 54"
"2454",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.6,"Age (years)","65 or older"
"2455",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",36.3,"Income","Less than $15,000"
"2456",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.9,"Income","$15,000 - $24,999"
"2457",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.5,"Income","$25,000 - $34,999"
"2458",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.3,"Income","$35,000 - $49,999"
"2459",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.7,"Income","$50,000 - $74,999"
"2460",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.1,"Income","$75,000 or greater"
"2461",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.4,"Income","Data not reported"
"2462",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.5,"Race/Ethnicity","Non-Hispanic White"
"2463",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",37.3,"Race/Ethnicity","Non-Hispanic Black"
"2464",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",18.4,"Race/Ethnicity","Asian"
"2465",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"2466",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",52.9,"Race/Ethnicity","American Indian/Alaska Native"
"2467",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",45.9,"Race/Ethnicity","2 or more races"
"2468",2014,"Nebraska","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"2469",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",20.7,"Race/Ethnicity","Asian"
"2470",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.2,"Total","Total"
"2471",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.5,"Gender","Male"
"2472",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.8,"Gender","Female"
"2473",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.2,"Education","Less than high school"
"2474",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.8,"Education","High school graduate"
"2475",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.3,"Education","Some college or technical school"
"2476",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",19.2,"Education","College graduate"
"2477",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",12.2,"Age (years)","18 - 24"
"2478",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.6,"Age (years)","25 - 34"
"2479",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.4,"Age (years)","35 - 44"
"2480",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.9,"Age (years)","45 - 54"
"2481",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.5,"Age (years)","55 - 64"
"2482",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.1,"Age (years)","65 or older"
"2483",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.6,"Income","Less than $15,000"
"2484",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.4,"Income","$15,000 - $24,999"
"2485",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.8,"Income","$25,000 - $34,999"
"2486",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.3,"Income","$35,000 - $49,999"
"2487",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.8,"Income","$50,000 - $74,999"
"2488",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.9,"Income","$75,000 or greater"
"2489",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21.5,"Income","Data not reported"
"2490",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.7,"Race/Ethnicity","Non-Hispanic White"
"2491",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.1,"Race/Ethnicity","Non-Hispanic Black"
"2492",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.9,"Race/Ethnicity","Hispanic"
"2493",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"2494",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",19.8,"Race/Ethnicity","American Indian/Alaska Native"
"2495",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.7,"Race/Ethnicity","2 or more races"
"2496",2012,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27,"Race/Ethnicity","Other"
"2497",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.2,"Total","Total"
"2498",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.9,"Gender","Male"
"2499",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.6,"Gender","Female"
"2500",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.7,"Education","Less than high school"
"2501",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29,"Education","High school graduate"
"2502",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.8,"Education","Some college or technical school"
"2503",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21.4,"Education","College graduate"
"2504",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",11.2,"Age (years)","18 - 24"
"2505",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.3,"Age (years)","25 - 34"
"2506",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31,"Age (years)","35 - 44"
"2507",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.6,"Age (years)","45 - 54"
"2508",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.5,"Age (years)","55 - 64"
"2509",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.9,"Age (years)","65 or older"
"2510",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.5,"Income","Less than $15,000"
"2511",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.1,"Income","$15,000 - $24,999"
"2512",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.8,"Income","$25,000 - $34,999"
"2513",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.4,"Income","$35,000 - $49,999"
"2514",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21,"Income","$50,000 - $74,999"
"2515",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.7,"Income","$75,000 or greater"
"2516",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.2,"Income","Data not reported"
"2517",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.4,"Race/Ethnicity","Non-Hispanic White"
"2518",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",39,"Race/Ethnicity","Non-Hispanic Black"
"2519",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.1,"Race/Ethnicity","Hispanic"
"2520",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",8.5,"Race/Ethnicity","Asian"
"2521",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"2522",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",37.4,"Race/Ethnicity","American Indian/Alaska Native"
"2523",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.8,"Race/Ethnicity","2 or more races"
"2524",2013,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"2525",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.7,"Total","Total"
"2526",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.9,"Gender","Male"
"2527",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",37.8,"Education","Less than high school"
"2528",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.2,"Education","High school graduate"
"2529",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.4,"Education","Some college or technical school"
"2530",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.6,"Education","College graduate"
"2531",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",12.7,"Age (years)","18 - 24"
"2532",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.7,"Age (years)","25 - 34"
"2533",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",36.8,"Age (years)","35 - 44"
"2534",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.9,"Age (years)","45 - 54"
"2535",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.6,"Age (years)","55 - 64"
"2536",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.6,"Age (years)","65 or older"
"2537",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",36.7,"Income","Less than $15,000"
"2538",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.5,"Income","$15,000 - $24,999"
"2539",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.9,"Income","$25,000 - $34,999"
"2540",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.7,"Income","$35,000 - $49,999"
"2541",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.2,"Income","$50,000 - $74,999"
"2542",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.6,"Income","$75,000 or greater"
"2543",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.6,"Income","Data not reported"
"2544",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.9,"Race/Ethnicity","Non-Hispanic White"
"2545",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",38.1,"Race/Ethnicity","Non-Hispanic Black"
"2546",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.3,"Race/Ethnicity","Hispanic"
"2547",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",15,"Race/Ethnicity","Asian"
"2548",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"2549",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.5,"Race/Ethnicity","American Indian/Alaska Native"
"2550",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",20.6,"Race/Ethnicity","2 or more races"
"2551",2014,"Nevada","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"2552",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.3,"Total","Total"
"2553",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.9,"Gender","Male"
"2554",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.6,"Gender","Female"
"2555",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.8,"Education","Less than high school"
"2556",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.6,"Education","High school graduate"
"2557",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.4,"Education","Some college or technical school"
"2558",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",20.7,"Education","College graduate"
"2559",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",14.9,"Age (years)","18 - 24"
"2560",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.4,"Age (years)","25 - 34"
"2561",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30,"Age (years)","35 - 44"
"2562",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.4,"Age (years)","45 - 54"
"2563",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30,"Age (years)","55 - 64"
"2564",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.5,"Age (years)","65 or older"
"2565",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.8,"Income","Less than $15,000"
"2566",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.9,"Income","$15,000 - $24,999"
"2567",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.6,"Income","$25,000 - $34,999"
"2568",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.3,"Income","$35,000 - $49,999"
"2569",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.1,"Income","$50,000 - $74,999"
"2570",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.1,"Income","$75,000 or greater"
"2571",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.7,"Income","Data not reported"
"2572",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.7,"Race/Ethnicity","Non-Hispanic White"
"2573",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Non-Hispanic Black"
"2574",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.1,"Race/Ethnicity","Hispanic"
"2575",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",2,"Race/Ethnicity","Asian"
"2576",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"2577",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","American Indian/Alaska Native"
"2578",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",20.8,"Race/Ethnicity","2 or more races"
"2579",2012,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Other"
"2580",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.7,"Total","Total"
"2581",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.7,"Gender","Male"
"2582",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.8,"Gender","Female"
"2583",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.5,"Education","Less than high school"
"2584",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.4,"Education","High school graduate"
"2585",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.6,"Education","Some college or technical school"
"2586",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",22.3,"Education","College graduate"
"2587",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",12.8,"Age (years)","18 - 24"
"2588",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.3,"Age (years)","25 - 34"
"2589",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31,"Age (years)","35 - 44"
"2590",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.1,"Age (years)","45 - 54"
"2591",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.5,"Age (years)","55 - 64"
"2592",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.5,"Age (years)","65 or older"
"2593",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.9,"Income","Less than $15,000"
"2594",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.5,"Income","$15,000 - $24,999"
"2595",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.5,"Income","$25,000 - $34,999"
"2596",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.7,"Income","$35,000 - $49,999"
"2597",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.5,"Income","$50,000 - $74,999"
"2598",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.3,"Income","$75,000 or greater"
"2599",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21.9,"Income","Data not reported"
"2600",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.3,"Race/Ethnicity","Non-Hispanic White"
"2601",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Non-Hispanic Black"
"2602",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.3,"Race/Ethnicity","Hispanic"
"2603",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Asian"
"2604",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"2605",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","American Indian/Alaska Native"
"2606",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",18,"Race/Ethnicity","2 or more races"
"2607",2013,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.8,"Race/Ethnicity","Other"
"2608",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.4,"Total","Total"
"2609",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.5,"Gender","Male"
"2610",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",25.3,"Gender","Female"
"2611",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.3,"Education","Less than high school"
"2612",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.6,"Education","High school graduate"
"2613",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.3,"Education","Some college or technical school"
"2614",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",21,"Education","College graduate"
"2615",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",13.6,"Age (years)","18 - 24"
"2616",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.5,"Age (years)","25 - 34"
"2617",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29.5,"Age (years)","35 - 44"
"2618",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.6,"Age (years)","45 - 54"
"2619",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.9,"Age (years)","55 - 64"
"2620",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.4,"Age (years)","65 or older"
"2621",2014,"New Hampshire","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",36.7,"Income","Less than $15,000"
